2026-03-31 17:10:37,888 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:10:37,888'
2026-03-31 17:10:37,888 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:10:37,888'
2026-03-31 17:10:37,966 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - [auth]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,966 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 17:10:37,966'
2026-03-31 17:10:37,981 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:10:37,981'
2026-03-31 17:10:37,981 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:10:37,981'
2026-03-31 17:10:37,981 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:10:37,981'
2026-03-31 17:10:37,988 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:10:37,988'
2026-03-31 17:15:44,887 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-31 17:15:44,887'
2026-03-31 17:15:44,887 - DEBUG - Trying load 'auth'..| extra=asctime='2026-03-31 17:15:44,887'
2026-03-31 17:15:44,893 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:15:44,893'
2026-03-31 17:15:44,893 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:15:44,893'
2026-03-31 17:15:44,956 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:15:44,956'
2026-03-31 17:15:44,956 - DEBUG - [auth]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:15:44,956'
2026-03-31 17:15:44,956 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-31 17:15:44,956'
2026-03-31 17:15:44,972 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:15:44,972'
2026-03-31 17:15:44,972 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:15:44,972'
2026-03-31 17:15:44,972 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:15:44,972'
2026-03-31 17:15:44,972 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 17:15:44,972'
2026-03-31 17:15:45,025 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:15:45,025'
2026-03-31 17:15:45,025 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:15:45,025'
2026-03-31 17:15:45,025 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:15:45,025'
2026-03-31 17:15:45,040 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:15:45,040'
2026-03-31 17:19:16,213 - DEBUG - 'Guardian_Crash' internal package registered!| extra=asctime='2026-03-31 17:19:16,213'
2026-03-31 17:19:16,213 - DEBUG - Trying load 'auth'..| extra=asctime='2026-03-31 17:19:16,213'
2026-03-31 17:19:16,229 - DEBUG - [auth]: detected object module 'domain.WebApp_service.plugin.external.auth.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:19:16,229'
2026-03-31 17:19:16,229 - DEBUG - [auth]:Auth: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:19:16,229'
2026-03-31 17:19:16,298 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/privilege/user.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:19:16,298'
2026-03-31 17:19:16,298 - DEBUG - [auth]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:19:16,298'
2026-03-31 17:19:16,298 - DEBUG - Trying load 'test'..| extra=asctime='2026-03-31 17:19:16,298'
2026-03-31 17:19:16,313 - DEBUG - [test]: detected object module 'domain.WebApp_service.plugin.external.test.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - Trying load 'urlshortener'..| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - [urlshortener]: detected object module 'domain.WebApp_service.plugin.external.urlshortener.main', finding 'setup_me'..| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - [urlshortener]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,313 - DEBUG - [urlshortener]:apiServiceShortener: setup_me finded! object registered into Queue.| extra=asctime='2026-03-31 17:19:16,313'
2026-03-31 17:19:16,329 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:19:16,329'
2026-03-31 17:19:33,318 - DEBUG - WriteHandler initialized: Params(fp=<_io.TextIOWrapper name='data/database/shorten/client.json' mode='w' encoding='cp1252'>, obj=Blocked, indent=4)| extra=asctime='2026-03-31 17:19:33,318'
2026-03-31 17:19:33,318 - DEBUG - WriteHandler: json_write triggered! 
  Flag: Params(fp=<_io.TextIOWrapper name='data/database/shorten/client.json' mode='w' encoding='cp1252'>, obj=Blocked, indent=Ellipsis)| extra=asctime='2026-03-31 17:19:33,318'
2026-03-31 17:19:33,790 - DEBUG - ReadHandler: Intialized with fp > <_io.TextIOWrapper name='data/database/shorten/client.json' mode='r' encoding='cp1252'>| extra=asctime='2026-03-31 17:19:33,790'
2026-03-31 17:20:19,364 - DEBUG - WriteHandler initialized: Params(fp=<_io.TextIOWrapper name='data/database/shorten/client.json' mode='w' encoding='cp1252'>, obj=Blocked, indent=4)| extra=asctime='2026-03-31 17:20:19,364'
2026-03-31 17:20:19,364 - DEBUG - WriteHandler: json_write triggered! 
